NodeLabel, x_undeformed, y_undeformed, z_undeformed, x_deformed, y_deformed, z_deformed
12051, 0.21000, 0.64000, 0.06000, 0.21016, 0.63992, 0.05962
12338, 0.20000, 0.64000, 0.06000, 0.20015, 0.63992, 0.05961
12625, 0.19000, 0.64000, 0.06000, 0.19015, 0.63991, 0.05960
12912, 0.18000, 0.64000, 0.06000, 0.18014, 0.63991, 0.05959
13199, 0.17000, 0.64000, 0.06000, 0.17013, 0.63991, 0.05957
13486, 0.16000, 0.64000, 0.06000, 0.16013, 0.63991, 0.05956
13773, 0.15000, 0.64000, 0.06000, 0.15012, 0.63990, 0.05955
14060, 0.14000, 0.64000, 0.06000, 0.14012, 0.63990, 0.05954
14347, 0.13000, 0.64000, 0.06000, 0.13011, 0.63990, 0.05953
14634, 0.12000, 0.64000, 0.06000, 0.12010, 0.63990, 0.05951
14921, 0.11000, 0.64000, 0.06000, 0.11009, 0.63989, 0.05950
15208, 0.10000, 0.64000, 0.06000, 0.10009, 0.63989, 0.05949
15495, 0.09000, 0.64000, 0.06000, 0.09008, 0.63989, 0.05948
15782, 0.08000, 0.64000, 0.06000, 0.08007, 0.63989, 0.05948
16069, 0.07000, 0.64000, 0.06000, 0.07006, 0.63989, 0.05947
16356, 0.06000, 0.64000, 0.06000, 0.06005, 0.63988, 0.05946
16643, 0.05000, 0.64000, 0.06000, 0.05004, 0.63988, 0.05945
16930, 0.04000, 0.64000, 0.06000, 0.04003, 0.63988, 0.05945
17217, 0.03000, 0.64000, 0.06000, 0.03003, 0.63988, 0.05944
17504, 0.02000, 0.64000, 0.06000, 0.02002, 0.63988, 0.05944
17791, 0.01000, 0.64000, 0.06000, 0.01001, 0.63988, 0.05944
679, 0.00000, 0.64000, 0.06000, 0.00000, 0.63988, 0.05944
291, 0.32000, 0.64000, 0.07000, 0.32020, 0.63994, 0.06973
9180, 0.31000, 0.64000, 0.07000, 0.31020, 0.63994, 0.06972
9467, 0.30000, 0.64000, 0.07000, 0.30019, 0.63994, 0.06971
9754, 0.29000, 0.64000, 0.07000, 0.29019, 0.63994, 0.06970
10041, 0.28000, 0.64000, 0.07000, 0.28019, 0.63994, 0.06969
10328, 0.27000, 0.64000, 0.07000, 0.27018, 0.63994, 0.06968
10615, 0.26000, 0.64000, 0.07000, 0.26018, 0.63994, 0.06967
10902, 0.25000, 0.64000, 0.07000, 0.25018, 0.63993, 0.06966
11189, 0.24000, 0.64000, 0.07000, 0.24017, 0.63993, 0.06965
11476, 0.23000, 0.64000, 0.07000, 0.23017, 0.63993, 0.06964
11763, 0.22000, 0.64000, 0.07000, 0.22016, 0.63993, 0.06963
12050, 0.21000, 0.64000, 0.07000, 0.21016, 0.63992, 0.06962
12337, 0.20000, 0.64000, 0.07000, 0.20015, 0.63992, 0.06960
12624, 0.19000, 0.64000, 0.07000, 0.19015, 0.63992, 0.06959
12911, 0.18000, 0.64000, 0.07000, 0.18014, 0.63992, 0.06958
13198, 0.17000, 0.64000, 0.07000, 0.17014, 0.63992, 0.06957
13485, 0.16000, 0.64000, 0.07000, 0.16013, 0.63991, 0.06956
13772, 0.15000, 0.64000, 0.07000, 0.15012, 0.63991, 0.06954
14059, 0.14000, 0.64000, 0.07000, 0.14012, 0.63991, 0.06953
14346, 0.13000, 0.64000, 0.07000, 0.13011, 0.63991, 0.06952
14633, 0.12000, 0.64000, 0.07000, 0.12010, 0.63991, 0.06951
14920, 0.11000, 0.64000, 0.07000, 0.11009, 0.63990, 0.06950
15207, 0.10000, 0.64000, 0.07000, 0.10009, 0.63990, 0.06949
15494, 0.09000, 0.64000, 0.07000, 0.09008, 0.63990, 0.06948
15781, 0.08000, 0.64000, 0.07000, 0.08007, 0.63990, 0.06947
16068, 0.07000, 0.64000, 0.07000, 0.07006, 0.63990, 0.06946
16355, 0.06000, 0.64000, 0.07000, 0.06005, 0.63990, 0.06945
16642, 0.05000, 0.64000, 0.07000, 0.05004, 0.63990, 0.06945
16929, 0.04000, 0.64000, 0.07000, 0.04004, 0.63989, 0.06944
17216, 0.03000, 0.64000, 0.07000, 0.03003, 0.63989, 0.06944
17503, 0.02000, 0.64000, 0.07000, 0.02002, 0.63989, 0.06943
17790, 0.01000, 0.64000, 0.07000, 0.01001, 0.63989, 0.06943
680, 0.00000, 0.64000, 0.07000, 0.00000, 0.63989, 0.06943
292, 0.32000, 0.64000, 0.08000, 0.32020, 0.63994, 0.07973
9179, 0.31000, 0.64000, 0.08000, 0.31020, 0.63994, 0.07972
9466, 0.30000, 0.64000, 0.08000, 0.30019, 0.63994, 0.07971
9753, 0.29000, 0.64000, 0.08000, 0.29019, 0.63994, 0.07970
10040, 0.28000, 0.64000, 0.08000, 0.28019, 0.63994, 0.07969
10327, 0.27000, 0.64000, 0.08000, 0.27019, 0.63994, 0.07967
10614, 0.26000, 0.64000, 0.08000, 0.26018, 0.63994, 0.07966
10901, 0.25000, 0.64000, 0.08000, 0.25018, 0.63994, 0.07965
11188, 0.24000, 0.64000, 0.08000, 0.24017, 0.63994, 0.07964
11475, 0.23000, 0.64000, 0.08000, 0.23017, 0.63994, 0.07963
11762, 0.22000, 0.64000, 0.08000, 0.22016, 0.63993, 0.07962
12049, 0.21000, 0.64000, 0.08000, 0.21016, 0.63993, 0.07961
12336, 0.20000, 0.64000, 0.08000, 0.20016, 0.63993, 0.07960
12623, 0.19000, 0.64000, 0.08000, 0.19015, 0.63993, 0.07959
12910, 0.18000, 0.64000, 0.08000, 0.18014, 0.63993, 0.07957
13197, 0.17000, 0.64000, 0.08000, 0.17014, 0.63992, 0.07956
13484, 0.16000, 0.64000, 0.08000, 0.16013, 0.63992, 0.07955
13771, 0.15000, 0.64000, 0.08000, 0.15013, 0.63992, 0.07954
14058, 0.14000, 0.64000, 0.08000, 0.14012, 0.63992, 0.07952
14345, 0.13000, 0.64000, 0.08000, 0.13011, 0.63992, 0.07951
14632, 0.12000, 0.64000, 0.08000, 0.12011, 0.63992, 0.07950
14919, 0.11000, 0.64000, 0.08000, 0.11010, 0.63992, 0.07949
15206, 0.10000, 0.64000, 0.08000, 0.10009, 0.63991, 0.07948
15493, 0.09000, 0.64000, 0.08000, 0.09008, 0.63991, 0.07947
15780, 0.08000, 0.64000, 0.08000, 0.08007, 0.63991, 0.07946
16067, 0.07000, 0.64000, 0.08000, 0.07006, 0.63991, 0.07945
16354, 0.06000, 0.64000, 0.08000, 0.06005, 0.63991, 0.07944
16641, 0.05000, 0.64000, 0.08000, 0.05004, 0.63991, 0.07944
16928, 0.04000, 0.64000, 0.08000, 0.04004, 0.63991, 0.07943
17215, 0.03000, 0.64000, 0.08000, 0.03003, 0.63991, 0.07943
17502, 0.02000, 0.64000, 0.08000, 0.02002, 0.63990, 0.07943
17789, 0.01000, 0.64000, 0.08000, 0.01001, 0.63990, 0.07942
681, 0.00000, 0.64000, 0.08000, 0.00000, 0.63990, 0.07942
293, 0.32000, 0.64000, 0.09000, 0.32020, 0.63995, 0.08973
9178, 0.31000, 0.64000, 0.09000, 0.31020, 0.63995, 0.08971
9465, 0.30000, 0.64000, 0.09000, 0.30020, 0.63995, 0.08970
9752, 0.29000, 0.64000, 0.09000, 0.29019, 0.63995, 0.08969
10039, 0.28000, 0.64000, 0.09000, 0.28019, 0.63995, 0.08968
10326, 0.27000, 0.64000, 0.09000, 0.27019, 0.63995, 0.08967
10613, 0.26000, 0.64000, 0.09000, 0.26018, 0.63995, 0.08966
10900, 0.25000, 0.64000, 0.09000, 0.25018, 0.63994, 0.08965
11187, 0.24000, 0.64000, 0.09000, 0.24018, 0.63994, 0.08964
11474, 0.23000, 0.64000, 0.09000, 0.23017, 0.63994, 0.08963
11761, 0.22000, 0.64000, 0.09000, 0.22017, 0.63994, 0.08962
12048, 0.21000, 0.64000, 0.09000, 0.21016, 0.63994, 0.08961
12335, 0.20000, 0.64000, 0.09000, 0.20016, 0.63994, 0.08959
12622, 0.19000, 0.64000, 0.09000, 0.19015, 0.63993, 0.08958
12909, 0.18000, 0.64000, 0.09000, 0.18015, 0.63993, 0.08957
13196, 0.17000, 0.64000, 0.09000, 0.17014, 0.63993, 0.08956
13483, 0.16000, 0.64000, 0.09000, 0.16014, 0.63993, 0.08954
13770, 0.15000, 0.64000, 0.09000, 0.15013, 0.63993, 0.08953
